[   0,    0]
[1711, 2527]
[1306, 2935]
[1714, 2532]
[1713, 2535]
[1309, 2942]
[1718, 2538]
[1312, 2949]
[1717, 2546]
[1313, 2952]
[1724, 2547]
[1726, 2552]
[1729, 2556]
[1732, 2557]
[1731, 2559]
[1323, 2973]
[1736, 2566]
[1738, 2571]
[1741, 2573]
[1742, 2576]
[1745, 2580]
[1334, 2996]
[1748, 2584]
[1751, 2588]
[1753, 2591]
[1756, 2595]
[1757, 2598]
[1761, 2601]
[1345, 3019]
[1763, 2607]
[1348, 3026]
[1764, 2610]
[1766, 2609]
[1769, 2614]
[1353, 3037]
[1771, 2620]
[1354, 3040]
[1775, 2623]
[1778, 2625]
[1780, 2631]
[1781, 2634]
[1362, 3057]
[1784, 2636]
[1785, 2640]
[1366, 3066]
[1790, 2644]
[1792, 2650]
[1795, 2651]
[1372, 3079]
[1799, 2660]
[1802, 2661]
[1378, 3092]
[1806, 2666]
[1803, 2671]
[1809, 2673]
[1810, 2672]
[1383, 3103]
[1385, 3108]
[1386, 3111]
[1816, 2682]
[1389, 3118]
[1390, 3121]
[1822, 2691]
[1392, 3126]
[1825, 2696]
[1826, 2700]
[1829, 2701]
[1396, 3135]
[1397, 3138]
[1831, 2706]
[1836, 2713]
[1403, 3151]
[1839, 2717]
[1842, 2718]
[1405, 3156]
[1841, 2720]
[1840, 2722]
[1408, 3163]
[1845, 2726]
[1849, 2729]
[1411, 3170]
[1412, 3173]
[1852, 2737]
[1414, 3178]
[1855, 2739]
[1856, 2742]
[1416, 3183]
[1858, 2741]
[1419, 3190]
[1861, 2748]
[1420, 3193]
[1862, 2751]
[1421, 3196]
[1867, 2757]
[1868, 2760]
[1871, 2762]
[1427, 3209]
[1875, 2772]
[1878, 2771]
[1432, 3220]
[1433, 3223]
[1881, 2776]
[1882, 2781]
[1436, 3230]
[1437, 3233]
[1886, 2784]
[1887, 2787]
[1441, 3242]
[1891, 2793]
[1894, 2797]
[1446, 3253]
[1898, 2802]
[1900, 2805]
[1903, 2810]
[1904, 2815]
[1905, 2818]
[1907, 2816]
[1454, 3270]
[1456, 3275]
[1912, 2820]
[1913, 2825]
[1915, 2831]
[1919, 2836]
[1921, 2839]
[1923, 2837]
[1468, 3300]
[1925, 2844]
[1928, 2848]
[1934, 2855]
[1475, 3315]
[1935, 2858]
[1476, 3318]
[1936, 2861]
[1479, 3325]
[1941, 2863]
[1480, 3328]
[1942, 2866]
[1482, 3333]
[1944, 2871]
[1949, 2875]
[1946, 2882]
[1950, 2880]
[1953, 2881]
[1955, 2886]
[1956, 2891]
[1959, 2892]
[1494, 3358]
[1495, 3361]
[1963, 2895]
[1968, 2902]
[1969, 2908]
[1502, 3376]
[1970, 2913]
[1976, 2917]
[1507, 3387]
[1977, 2921]
[1981, 2919]
[1510, 3394]
[1511, 3397]
[1980, 2928]
[1512, 3400]
[1983, 2929]
[1515, 3407]
[1986, 2936]
[1516, 3410]
[1990, 2939]
[1993, 2940]
[1520, 3419]
[1994, 2946]
[1995, 2950]
[2000, 2953]
[1526, 3432]
[2001, 2957]
[1528, 3437]
[2006, 2963]
[2008, 2966]
[1533, 3448]
[2012, 2971]
[2013, 2974]
[1535, 3453]
[1537, 3458]
[2018, 2978]
[2020, 2984]
[2023, 2985]
[1542, 3469]
[1543, 3472]
[2027, 2992]
[2029, 2995]
[2028, 2999]
[1547, 3481]
